division,match_id,match_number,team_id,team,player_id,player_name,nationality,jersey_no,position,minutes_played,starter,captain,attacking_offloads,attacking_line_breaks,attacking_defenders_beaten,attacking_points,attacking_try_assists,attacking_tries,defence_discipline_tackles,defence_discipline_turnovers_won,defence_discipline_yellow_cards,defence_discipline_red_cards,defence_discipline_handling_errors,defence_discipline_knock_ons,defence_discipline_missed_tackles,defence_discipline_turnovers_conceded,defence_discipline_penalties_conceded,kicking_conversions,kicking_penalty_goals,other_dropped_goals,other_missed_conversions,other_tackle_success,other_lineouts_won,other_total_lineouts,other_penalty_conceded_offside
Women,156,1,56,Chennai Bulls,1624,Sheilla Chajira,Kenya,3,Forward,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women,156,1,56,Chennai Bulls,1625,Chantelle Miell,United Kingdom,17,Forward,29,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Women,156,1,56,Chennai Bulls,1628,Muskan Piploda,India,7,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women,156,1,56,Chennai Bulls,1629,Sapna Kumari,India,2,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women,156,1,56,Chennai Bulls,1630,Sandhyarani Tudu,India,11,Centre,33,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Women,156,1,56,Chennai Bulls,1631,Amandeep Kaur,India,9,Prop,33,1,0,1,2,6,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Women,156,1,56,Chennai Bulls,1655,Larah Wright,Canada,47,Back,29,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Women,156,1,56,Chennai Bulls,1656,Carmen Izyk,Canada,8,Back,32,1,0,2,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Women,156,1,56,Chennai Bulls,1657,Sandhya Rai,India,10,Flyhalf,22,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Women,156,1,56,Chennai Bulls,1682,Adia Pye,Canada,21,Back,5,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Women,156,1,56,Chennai Bulls,1683,Savannah Bauder,Canada,5,Fly Half,33,1,0,0,2,4,14,0,2,6,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0
Women,156,1,56,Chennai Bulls,1684,Priyanka R,India,6,Fly Half,11,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Women,156,1,58,Delhi Redz,73,Lavena Cavuru,Fiji,67,Back,22,1,0,0,2,0,9,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
Women,156,1,58,Delhi Redz,1633,Zintle Mpupha,South Africa,6,Back,26,1,0,3,2,4,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Women,156,1,58,Delhi Redz,1634,Saloni Kumari,India,5,Centre,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Women,156,1,58,Delhi Redz,1635,Guriya Kumari,India,3,Scrumhalf,33,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Women,156,1,58,Delhi Redz,1636,Rima Oraon,India,4,Flyhalf,22,1,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Women,156,1,58,Delhi Redz,1658,Camilla Carvalho,Brazil,77,Forward,11,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Women,156,1,58,Delhi Redz,1659,Isadora Lopes,Brazil,13,Back,29,1,0,1,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Women,156,1,58,Delhi Redz,1660,Silika Qalo,Fiji,88,Back,11,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Women,156,1,58,Delhi Redz,1661,Eden Kilgour,Canada,14,Back,33,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Women,156,1,58,Delhi Redz,1663,Dumuni Marndi,India,15,Scrumhalf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women,156,1,58,Delhi Redz,1664,Shikha Yadav,India,26,Forward,22,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
